Designator,Footprint,Quantity,Value,LCSC Part #
BZ1701,UGCT7525AN4,1,Speaker,
"C101, C102, C103, C104, C105, C106, C107, C108, C109, C2001, C2002",0603,11,0.1uF,
"C1401, C1402",0805,2,2.2uF 25V,C19110
C1403,1206,1,4.7uF 50V,C51205
C1404,0805,1,22uF 25V,C602037
"C1405, C1406",0603,2,1uF,
D101,0805,1,VDD MCU,C84256
D102,0805,1,+5V FDD,C84256
D103,0805,1,+12V FDD,C84261
"D1401, D1404, D1701",D_SOD-123F,3,SS2040FL,C268712
"D1402, D1403",D_SOD-123,2,1N60PW,C134188
"D1501, D1502, D1503, D1504, D2001, D2002, D2003, D2004",LED_WS2812B-2020_PLCC4_2.0x2.0mm,8,WS2812B-2020,C965555
"H1601, H1602, H1603, H1604, H1605, H1606",PCB_WeldingTerminal_M3_L-angle,6,MountingHole_Pad,C962334
J101,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Conn_01x02,C27910
J102,PinHeader_2x17_P2.54mm_Horizontal_Mirror,1,Conn_02x17_Odd_Even,C725929
J103,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,C492401
J104,PinSocket_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,C492399
J105,TerminalBlock_WANJIE_WJ15EDGRC_1x04_P2.54mm_Horizontal,1,4pin,C2927505
"J106, J107",PinHeader_2x17_P2.54mm_Horizontal,2,Conn_02x17_Odd_Even,
J108,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J109,PinSocket_2x06_P2.54mm_Horizontal,1,Conn_02x06_Odd_Even,C5333437
J110,PinHeader_1x17_P2.54mm_Vertical,1,Conn_01x17_Pin,
J1401,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2765186
J1402,BarrelJack_Horizontal,1,Barrel_Jack_Switch,C16214
J2001,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,C492423
J2002,OLED_Dispaly_1.29inch_I2C_4pin,1,Conn_01x04,
"JP101, JP102, JP103, JP105, JP106, JP107, JP1701",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,7,Jumper_2_Small_Open,
JP104,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Small_Bridged,
"JP108, JP2001",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,Jumper_2_Bridged,
"Q1001, Q101, Q1101, Q1201, Q1301, Q201, Q301, Q401, Q501, Q601, Q701, Q801, Q901",SOT-23,13,BSS138,
"Q1401, Q1402, Q1403, Q1407",SOIC-8_3.9x4.9mm_P1.27mm,4,FDS4935A,
"Q1404, Q1405, Q1406",SOT-523,3,DTC143Z,C5273798
Q1701,SC-59_Handsoldering,1,2SC2712,
"R1001, R1101, R1201, R1301, R1702, R201, R301, R401, R501, R601, R701, R801, R901",0603,13,100,
"R1002, R101, R103, R1102, R1202, R1302, R1406, R1408, R1410, R1412, R202, R302, R402, R502, R602, R702, R802, R902",0603,18,100k,
"R102, R132, R133, R134, R135, R1407, R1409, R1411, R1413, R1701",0603,10,10k,
"R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R125, R127, R128, R129, R130, R131, R137",0603,25,1K,
"R122, R123, R1403",2512,3,R100 (0.1Ω),
"R124, R126, R2001, R2002",0603,4,2.2k,
R136,0603,1,510,
"R138, R140",0603,2,3.3k,
"R139, R141, R143",0603,3,0K,
"R1401, R1402",0603,2,220,
"R1404, R1405",0603,2,5.1k,
R142,0603,1,12k,
RN101,R_Array_Concave_4x0603,1,4.7k x4,C1980
SW101,SW_Push_TS1088R_02026,1,RESET,C720477
SW102,SW_DIP_SPSTx04_Slide_Copal_CHS-04B_W7.62mm_P1.27mm,1,SW_DIP_x04,C319050
SW103,SW_Push_TS1088R_02026,1,BOOT,C720477
"SW2001, SW2002",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,C720477
"TP101, TP102, TP103, TP104, TP105, TP106, TP107, TP108, TP109, TP110, TP111, TP112, TP113, TP114, TP115, TP116, TP117, TP118, TP119, TP120, TP121, TP122, TP123, TP2001, TP2002, TP2003, TP2004, TP2005, TP2006, TP2007, TP2008, TP2009, TP2010, TP2011",TestPoint_Pad_1.0x1.0mm,34,TestPoint,
"U101, U102, U103, U104, U2001",TSSOP-20_4.4x6.5mm_P0.65mm,5,SLG46826G(V2),C3281959
U105,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias,1,INA3221AIRGVR,C181255
U106,LQFP-48_7x7mm_P0.5mm,1,CH32X035C8T6,
U1401,SOT-23,1,AP2210N-5.0TRG1,C460341
U1402,Converter_DCDC_RECOM_R-78E-0.5_THT,1,K7805M-1000R3,C5369649
U1403,SOT-23-5_HandSoldering,1,XC6201P332MR-G,
U2002,TSSOP-8_3x3mm_P0.65mm,1,PCA9515DP,C129512
U2003,SKRHAAE010,1,JOYSTICK,C202423
