Designator,Mid X,Mid Y,Rotation,Layer
C101,125.0,-123.0,180.0,bottom
C102,125.0,-134.5,180.0,bottom
C103,126.0,-118.5,0.0,bottom
C104,126.0,-130.635,0.0,bottom
C105,125.045,-110.95,180.0,bottom
C106,125.045,-99.52,180.0,bottom
C107,126.0,-106.505,0.0,bottom
C108,131.395,-94.44,180.0,bottom
C109,145.5,-103.5,0.0,top
C1401,116.0,-64.5,180.0,bottom
C1402,120.5,-64.5,0.0,bottom
C1403,143.46,-54.1425,270.0,bottom
C1404,143.46,-59.7475,90.0,bottom
C1405,203.1375,-59.0,180.0,top
C1406,203.1375,-66.5,180.0,top
C2001,124.0,-40.0,270.0,bottom
C2002,162.8625,-43.0,180.0,bottom
D101,144.73,-119.0,0.0,top
D102,103.6,-83.645,180.0,top
D103,103.455,-76.025,180.0,top
D1401,115.0,-56.475,90.0,top
D1402,124.5,-69.0,0.0,bottom
D1403,131.65,-75.0,180.0,top
D1404,131.5,-78.5,180.0,top
D1501,193.95,-75.0,90.0,top
D1502,193.9,-84.415,90.0,top
D1503,181.95,-75.0,90.0,top
D1504,181.95,-84.5,90.0,top
D1701,187.5,-140.5,270.0,top
D2001,183.0,-33.5,0.0,top
D2002,127.0,-33.5,180.0,top
D2003,183.0,-45.5,180.0,top
D2004,127.0,-45.5,0.0,top
H1601,123.0,-57.5,90.0,bottom
H1602,153.0,-57.5,90.0,bottom
H1603,213.0,-57.65,90.0,bottom
H1604,123.0,-142.5,270.0,bottom
H1605,153.0,-142.35,270.0,bottom
H1606,213.0,-142.5,270.0,bottom
H1611,214.1,-136.15,0.0,top
H1612,214.1,-63.85,0.0,top
J101,99.5,-142.75,270.0,top
J103,110.44,-141.425,0.0,top
J104,167.59,-144.605,90.0,top
J105,99.772,-79.835,270.0,top
J109,207.77,-75.65,180.0,top
J1401,93.98,-66.5,270.0,top
J1402,101.215,-57.166,0.0,top
J2001,162.45,-38.695,270.0,bottom
Q1001,174.9075,-120.475,180.0,top
Q101,105.75,-141.25,180.0,top
Q1101,174.9075,-124.285,180.0,top
Q1201,174.8775,-128.095,180.0,top
Q1301,174.9075,-131.905,180.0,top
Q1401,122.5,-80.475,0.0,top
Q1402,111.0,-56.475,0.0,top
Q1403,122.5,-69.5,0.0,top
Q1404,131.25,-90.645,90.0,top
Q1405,126.25,-90.645,90.0,top
Q1406,128.75,-90.645,90.0,top
Q1407,135.84,-67.77,270.0,top
Q1701,186.5,-145.0,0.0,top
