Designator,Mid X,Mid Y,Rotation,Layer
BZ101,175.3,-138.66,0.0,top
C1001,100.5,-52.05,180.0,bottom
C1002,105.0,-52.05,0.0,bottom
C1003,109.0,-81.475,0.0,top
C1004,113.0,-81.475,180.0,top
C101,106.045,-96.52,180.0,bottom
C102,112.395,-91.44,180.0,bottom
C103,106.045,-107.95,180.0,bottom
C104,112.395,-103.505,180.0,bottom
C105,126.5,-100.5,0.0,top
C106,106.0,-120.0,180.0,bottom
C107,112.5,-115.5,180.0,bottom
D1001,94.4,-49.975,180.0,top
D1002,108.5,-57.0,90.0,bottom
D1003,113.6,-75.0,180.0,top
D1004,115.85,-72.0,180.0,top
D1005,115.85,-77.5,180.0,top
D101,167.5,-136.5,270.0,top
D1101,167.5,-71.0,0.0,top
D1102,167.5,-82.0,0.0,top
D1103,158.0,-71.0,0.0,top
D1104,158.0,-82.0,0.0,top
H101,134.0,-54.5,90.0,bottom
H102,134.0,-139.5,270.0,bottom
H103,194.0,-54.5,90.0,bottom
H104,194.0,-139.5,270.0,bottom
H109,194.5,-60.85,0.0,top
H110,194.5,-133.15,0.0,top
J1001,81.865,-58.23,0.0,top
J1002,75.565,-67.945,270.0,top
J101,74.93,-80.01,270.0,top
J102,188.77,-72.65,180.0,top
J103,91.44,-138.425,0.0,top
J104,176.53,-57.785,90.0,top
J105,80.5,-139.75,270.0,top
J106,162.56,-109.22,0.0,bottom
J107,82.55,-109.22,180.0,top
J108,194.31,-109.22,0.0,bottom
Q1001,92.0,-56.0,0.0,top
Q1002,103.5,-66.5,0.0,top
Q1003,103.5,-77.475,0.0,top
Q101,87.31375,-138.0875,0.0,top
Q102,168.0,-140.5,0.0,top
Q201,156.845,-88.9,180.0,top
Q301,156.845,-92.71,180.0,top
Q401,156.845,-101.6,180.0,top
Q501,188.595,-101.6,180.0,top
Q601,156.845,-106.68,180.0,top
Q701,156.845,-110.49,180.0,top
Q801,156.845,-114.3,180.0,top
Q901,156.845,-127.0,180.0,top
R1001,93.825,-61.0,0.0,top
R1002,90.175,-61.0,0.0,top
R1003,105.325,-71.5,0.0,top
R1004,101.745,-71.5,0.0,top
R1005,105.325,-82.475,0.0,top
R1006,101.675,-82.475,0.0,top
R1007,90.5,-65.0,180.0,top
R1008,84.25,-67.0,180.0,bottom
R1009,84.25,-70.0,180.0,bottom
R101,100.5,-63.05,270.0,bottom
R1010,85.0,-72.5,270.0,bottom
R1011,85.0,-64.5,90.0,bottom
R102,120.015,-131.445,0.0,top
R103,120.015,-133.35,0.0,top
R104,108.585,-133.35,180.0,top
R105,108.585,-131.445,180.0,top
R106,106.0,-63.05,270.0,bottom
R107,165.0,-140.5,270.0,top
R108,87.63,-88.9,180.0,top
R109,87.63,-99.06,180.0,top
R110,87.63,-101.6,180.0,top
R111,87.63,-104.14,180.0,top
R112,87.63,-93.98,180.0,top
R113,78.105,-88.9,180.0,bottom
R114,78.105,-91.44,180.0,bottom
R115,78.105,-93.98,180.0,bottom
R116,78.105,-96.52,180.0,bottom
R117,119.0,-94.825,270.0,top
R118,121.0,-94.825,270.0,top
R119,87.63,-106.68,180.0,top
R120,87.63,-109.22,180.0,top
R121,87.63,-111.76,180.0,top
R122,87.63,-127.0,180.0,top
R123,78.105,-99.06,180.0,bottom
R124,78.105,-101.6,180.0,bottom
R125,78.105,-104.14,180.0,bottom
R126,87.63,-116.84,180.0,top
R127,87.63,-114.3,180.0,top
R128,126.0,-94.825,270.0,top
R201,151.13,-88.265,0.0,top
R202,153.67,-88.9,90.0,top
R301,151.13,-92.075,0.0,top
R302,153.67,-92.71,90.0,top
R401,151.13,-100.965,0.0,top
R402,153.67,-101.6,90.0,top
R501,182.88,-100.965,0.0,top
R502,185.42,-101.6,90.0,top
R601,151.13,-106.045,0.0,top
R602,153.67,-106.68,90.0,top
R701,151.13,-109.855,0.0,top
R702,153.67,-110.49,90.0,top
R801,151.13,-113.665,0.0,top
R802,153.67,-114.3,90.0,top
R901,151.13,-126.365,0.0,top
R902,153.67,-127.0,90.0,top
RN101,126.5,-70.0,0.0,bottom
SW101,114.3,-133.35,270.0,top
SW102,130.5,-94.5,180.0,top
U1001,103.04,-55.5,0.0,top
U1002,108.5,-77.475,0.0,top
U101,126.0,-65.0,0.0,bottom
U102,106.68,-94.615,270.0,top
U103,106.68,-106.68,270.0,top
U104,129.75,-107.75,270.0,top
U105,106.68,-118.745,270.0,top
